카테고리1,카테고리2,대표도시 국가,대표도시,판매가격,하나허브 마스터코드,마스터 상품코드,마스터 상품명
트립,근교투어,미국,뉴욕,185500,HEF409,MHJ-PRD3AE494LJL,[제이지투어] ?워싱턴 D.C 당일투어?(뉴욕 출발)
트립,근교투어,미국,뉴욕,185500,HEF409,MHJ-PRD3AE49J85R,[제이지버스투어] 아이비 리그 & 보스턴 투어 (뉴욕출발)
트립,근교투어,미국,뉴욕,185500,HEF409,MHJ-PRD3AE49SQIV,[제이지버스투어]아이비리그 + 필라델피아 투어(뉴욕출발)
트립,근교투어,미국,뉴욕,185500,HEF409,MHJ-PRD3AE49T0FI,[제이지버스투어] 뉴욕 세미패키지 3박 4일 ~ 7박 8일
트립,시내관광,미국,뉴욕,185500,HEF409,MHJ-PRD3AE49WJDW,[제이지버스투어] 세계3대야경 뉴욕! /제이지와 함께 더욱 반짝이는 야경을 만나다!
트립,시내관광,미국,뉴욕,185500,HEF409,MHJ-PRD3AE49YTDZ, [제이지버스투어] 뉴욕 올데이투어 (스냅촬영 & 페리포함)
트립,근교투어,미국,뉴욕,185500,HEF409,MHJ-PRD3FC69PRQQ,[제이지투어] 나이아가라 당일투어 (뉴욕 출발/스카이론타워 레스토랑 포함!)
입장권/패스,전망대&스카이라운지,미국,뉴욕,185500,HEF409,MHJ-PRD421E92HLI,[제이지투어] 써밋 전망대 티켓 (SUMMIT One Vanderbilt)
페리,페리,미국,뉴욕,185500,HEF409,MHJ-PRD421E9AEG8,[제이지투어] 자유의 여신상 크루즈 티켓 / 다운타운 크루즈
입장권/패스,박물관&미술관,미국,뉴욕,185500,HEF409,MHJ-PRD421E9CKPQ,[제이지투어] 모마 미술관 티켓 
입장권/패스,박물관&미술관,미국,뉴욕,185500,HEF409,MHJ-PRD421E9CO8S,"[제이지투어] 영화 속 주인공이 되어보세요, 뉴욕 Madame Tussauds "
입장권/패스,전망대&스카이라운지,미국,뉴욕,185500,HEF409,MHJ-PRD421E9NLQS,[제이지투어] 엣지 전망대 티켓 
